6481,Hima,Hima@2#
9341,Hima ,Ali
7408,jh,ss
436,Hima23,himaGo,15000.0
1425,wow,wowoar,20000.0
3426,wow,wowoar,20000.0
9499,ALi,go,0
9499,ALi,go,20000.0
9499,ALi,go,20000.0
2999,Abdo,1234,0
2999,Abdo,1234,15000.0
7043,Abdo,1234,0
2999,Abdo,1234,12000.0
7586,yala,23gd,0
7586,yala,23gd,12000.0
7586,yala,23gd,12000.0
7586,yala,23gd,12000.0
9296,Body Ahmed,1234,0
2065,hima,1234,0
798,Ali,1234,0
798,Ali,1234,12000.0
6832,noon,1234,0
6832,noon,1234,12000.0
6832,noon,1234,12000.0
6832,noon,1234,12000.0
